id,api_id,driver_fastest_lap,driver_position_points,is_double_points,name,partial,reference,shared_drive,team_fastest_lap,team_position_points
1,pointsystem_te7U11qP,0,0,f,Session with no Points Awarded,0,No Points,0,0,0
2,pointsystem_aedyNBvz,1,1,f,1950-1953 Race Points,0,r1950,1,0,0
3,pointsystem_36p48Ou0,2,1,f,1954 Race Points,0,r1954,1,0,0
4,pointsystem_mfIxkoWG,2,1,f,1955 Race Points,0,r1955,2,0,0
5,pointsystem_kmXb6q5E,2,1,f,1956 - 1957 Race Points,0,r1956,3,0,0
6,pointsystem_5iFOZCWr,2,1,f,1958 - 1959 Race Points,0,r1958,0,0,1
7,pointsystem_2SlAej3y,2,1,f,1958 - 1959 Indianapolis Points,0,r1958indi,0,0,0
8,pointsystem_jSaHvbeG,0,2,f,1960 Race Points,0,r1960,0,0,2
9,pointsystem_x7XUB9OD,0,2,f,1960 Indianapolis Points,0,r1960indi,0,0,0
10,pointsystem_e6DycBsb,0,3,f,1961 Race Points,0,r1961,0,0,2
11,pointsystem_j4226TWA,0,3,f,1962 - 1974 Race Points,0,r1962,0,0,3
12,pointsystem_1TN2OaDq,0,3,f,1975 - 1979 Race Points,1,r1975,0,0,3
13,pointsystem_r5QCWWNC,0,3,f,1980 - 1990 Race Points,2,r1980,0,0,3
14,pointsystem_9HC5FESG,0,5,f,1991 - 2002 Race Points,2,r1991,0,0,5
15,pointsystem_y8fq9GIS,0,6,f,2003 - 2009 Race Points,2,r2003,0,0,6
16,pointsystem_yd7mAbjd,0,7,f,2010 - 2018 Race Points,2,r2010,0,0,7
17,pointsystem_VVHVtBw9,0,7,t,2014 Double Race Points,2,r2014double,0,0,7
18,pointsystem_0ngMTsEV,3,7,f,2019 - 2021 Race Points,2,r2019,0,3,7
19,pointsystem_CtXuX5Vn,0,21,f,2021 Sprint Points,2,sprint2021,0,0,21
20,pointsystem_RD5yEGVQ,4,7,f,2022 Race Points,3,r2022,0,4,7
21,pointsystem_cv5CDr0M,0,22,f,2022 Sprint Points,3,sprint2022,0,0,22
22,pointsystem_IN5G1nKl,4,7,f,2023 - 2024 Race Points,4,r2023,0,4,7
23,pointsystem_HTXOoFPO,0,22,f,2023 - Present Sprint Points,4,sprint2023,0,0,22
24,pointsystem_yyy2n35V,0,7,f,2025 - Present Race Points,4,r2025,0,0,7
